# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
1.92            	((-2.284154460e+01 -4.424780734e-02 -2.741940661e-16) (5.987475274e+00 -4.808333386e-01 1.262347703e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.106195183e-02 -5.710386150e+00 1.320318054e+01) (1.202083346e-01 1.496868818e+00 1.393758913e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.96            	((-2.298050679e+01 -8.778681508e-02 -2.806502240e-16) (5.918169280e+00 -5.108952992e-01 1.265161904e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.194670377e-02 -5.745126697e+00 1.398927759e+01) (1.277238248e-01 1.479542320e+00 1.417062745e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2               	((-2.320803077e+01 -2.486501537e-01 -2.861113455e-16) (5.873925743e+00 -5.427137742e-01 1.262524568e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((6.216253843e-02 -5.802007692e+00 1.482634375e+01) (1.356784435e-01 1.468481436e+00 1.452063339e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.04            	((-2.357634964e+01 -5.185233763e-01 -2.900520610e-16) (5.847304470e+00 -5.768830218e-01 1.255317828e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.296308441e-01 -5.894087410e+00 1.570771532e+01) (1.442207554e-01 1.461826118e+00 1.496784393e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.08            	((-2.405074044e+01 -8.470954320e-01 -2.922470570e-16) (5.834791971e+00 -6.192998538e-01 1.241729991e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.117738580e-01 -6.012685111e+00 1.659648287e+01) (1.548249634e-01 1.458697993e+00 1.546360244e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.12            	((-2.433261702e+01 -1.043641013e+00 -2.925995601e-16) (5.801094692e+00 -6.718269942e-01 1.223700559e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.609102533e-01 -6.083154255e+00 1.750381577e+01) (1.679567486e-01 1.450273673e+00 1.603974084e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.16            	((-2.474276544e+01 -1.074619245e+00 -2.914673247e-16) (5.791303141e+00 -7.242670913e-01 1.199928491e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.686548113e-01 -6.185691361e+00 1.847354942e+01) (1.810667728e-01 1.447825785e+00 1.657108242e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.2             	((-2.506092780e+01 -8.594287990e-01 -2.890662728e-16) (5.768026339e+00 -7.869458054e-01 1.168367178e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.148571997e-01 -6.265231950e+00 1.949755228e+01) (1.967364513e-01 1.442006585e+00 1.707819670e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.24            	((-2.532688376e+01 -3.993500511e-01 -2.848276798e-16) (5.731031242e+00 -8.573704259e-01 1.123147507e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((9.983751276e-02 -6.331720939e+00 2.061800060e+01) (2.143426065e-01 1.432757810e+00 1.762365689e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.28            	((-2.571030629e+01 2.992716397e-01 -2.773277081e-16) (5.705594305e+00 -9.202533512e-01 1.059653337e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-7.481790992e-02 -6.427576572e+00 2.183013334e+01) (2.300633378e-01 1.426398576e+00 1.815994948e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
