# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
2.48            	((3.412488701e-01 7.811042846e-04 7.184971575e-20) (1.180013541e-01 1.666985426e-04 -3.143580119e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.952760712e-04 8.531221752e-02 -4.461296783e-13) (-4.167463564e-05 2.950033853e-02 4.635621241e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.52            	((3.403909865e-01 6.448081354e-04 7.173625015e-20) (1.176736614e-01 1.588623638e-04 -3.132635774e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.612020338e-04 8.509774663e-02 -4.404081266e-13) (-3.971559095e-05 2.941841535e-02 4.605795682e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.56            	((3.396351468e-01 4.015353293e-04 7.161751215e-20) (1.173529365e-01 1.473226304e-04 -3.120847217e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.003838323e-04 8.490878670e-02 -4.105728344e-13) (-3.683065759e-05 2.933823412e-02 4.567338737e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.6             	((3.385293148e-01 3.550306494e-04 7.156227785e-20) (1.170301851e-01 1.355247336e-04 -3.109438258e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-8.875766234e-05 8.463232871e-02 -3.801516393e-13) (-3.388118340e-05 2.925754627e-02 4.523011546e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.64            	((3.377510097e-01 1.879376778e-04 7.144391630e-20) (1.167135536e-01 1.247817700e-04 -3.098231211e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.698441946e-05 8.443775243e-02 -3.641043630e-13) (-3.119544251e-05 2.917838840e-02 4.476104781e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.68            	((3.370117456e-01 -2.670336675e-05 7.136086607e-20) (1.164052042e-01 1.111654214e-04 -3.086830957e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((6.675841688e-06 8.425293640e-02 -3.269791122e-13) (-2.779135534e-05 2.910130105e-02 4.430151765e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.72            	((3.359999418e-01 3.742122653e-05 7.127871356e-20) (1.160955947e-01 1.020183635e-04 -3.075379207e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-9.355306631e-06 8.399998545e-02 -2.930145276e-13) (-2.550459087e-05 2.902389869e-02 4.388466935e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.76            	((3.352358819e-01 -1.474598625e-04 7.120924027e-20) (1.157944031e-01 8.865191968e-05 -3.062980830e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((3.686496564e-05 8.380897048e-02 -2.480760822e-13) (-2.216297992e-05 2.894860077e-02 4.354355954e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.8             	((3.343623741e-01 -3.607797540e-04 7.113196868e-20) (1.154990151e-01 7.217899091e-05 -3.049606842e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((9.019493850e-05 8.359059352e-02 -1.931135373e-13) (-1.804474773e-05 2.887475378e-02 4.330419097e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.84            	((3.334428198e-01 -5.916676725e-04 7.107024569e-20) (1.152028291e-01 5.033341852e-05 -3.035900253e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.479169181e-04 8.336070494e-02 -1.420851284e-13) (-1.258335463e-05 2.880070729e-02 4.318317266e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
